FlareClass,Flare Date,AR,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
X22,2/15/2011 0:10,11158,3249.07,41815000000,8.60E+23,6.2133E+13,700.682,1.48995E+13,2.74E+22,1103.97,-552.89,14038,4.82,-0.0251,59.489
X15,3/9/2011 0:10,11166,3176.31,47782000000,9.66E+23,6.93142E+13,157.759,9.90571E+12,3.18E+22,1400.93,-869.7,13463.6,4.825,-0.0345,55.222
X21,9/6/2011 0:10,11283,1892.92,26673000000,3.72E+23,4.21173E+13,171.952,6.52888E+12,1.89E+22,1370.85,-231.29,7496.19,4.438,-0.0164,42.934
X18,9/7/2011 0:10,11283,1868.82,24509000000,3.48E+23,3.62893E+13,429.602,2.11807E+13,1.73E+22,1198.6,-317.56,8669.42,4.319,-0.0246,35.944
X19,9/24/2011 0:10,11302,5271.77,1.0229E+11,1.92E+24,8.6898E+13,1066.25,1.61178E+13,6.44E+22,1939.06,-6162.1,16094.8,4.912,-0.1143,41.102
X11,3/5/2012 0:10,11429,3866.88,70512000000,1.14E+24,6.526E+13,1391.38,4.92663E+13,4.78E+22,1414.52,-5714.5,13415.5,4.909,-0.1537,40.522
X54,3/7/2012 0:10,11429,5904.31,87381000000,1.68E+24,1.01205E+14,2314.31,7.95417E+13,5.74E+22,2018.58,-3081.2,15320.6,5.212,-0.0669,51.021
X14,7/12/2012 0:10,11520,7702.74,1.429E+11,2.44E+24,1.67971E+14,1442.81,6.75818E+13,9.47E+22,4536.81,-3694.1,10926.2,5.036,-0.049,46.161
X12,5/15/2013 0:10,11748,1854.69,31449000000,3.12E+23,3.11919E+13,734.486,2.67296E+13,2.86E+22,685.994,-6350.1,5782.52,4.405,-0.383,19.024
X10,10/28/2013 0:10,11875,3797.71,82041000000,1.27E+24,7.86009E+13,793.983,4.32417E+13,6.84E+22,1991.73,-10208,8901.63,4.371,-0.236,28.139
X33,11/5/2013 0:10,11890,5731.51,93206000000,1.47E+24,1.06304E+14,1209.82,4.29939E+13,7.53E+22,2335.35,-10458,10024.8,5,-0.2128,32.819
X11,11/8/2013 0:10,11890,4112.32,59235000000,1.05E+24,8.88192E+13,333.588,2.15987E+12,4.44E+22,2305.81,-2066.6,9711.59,4.734,-0.0662,48.785
X11,11/10/2013 3:10,11890,3373.21,49245000000,7.97E+23,7.77973E+13,554.928,1.58327E+13,3.94E+22,2166.65,-2770.8,8327.02,4.662,-0.1067,42.175
X10,11/19/2013 0:10,11893,3562.63,63842000000,7.50E+23,6.46192E+13,807.485,3.2894E+13,6.24E+22,1550.35,-12204,6225.65,4.746,-0.3626,19.828
X12,1/7/2014 0:10,11944,7589.58,1.6502E+11,2.99E+24,1.64685E+14,2185.35,7.71558E+13,9.33E+22,4448.32,-1823,14033.1,4.962,-0.021,51.014
X10,3/29/2014 0:10,12017,1098.55,14717000000,1.69E+23,2.16513E+13,253.733,1.35216E+13,1.13E+22,751.502,-1132.4,6990.11,4.203,-0.1459,26.704
X16,10/22/2014 0:10,12192,11762.2,2.2503E+11,4.76E+24,2.16398E+14,650.243,1.5443E+13,1.36E+23,6158.15,-5991.2,18881.5,5.463,-0.0505,48.13
X10,10/25/2014 0:10,12192,12172.3,2.5297E+11,5.23E+24,2.30024E+14,854.506,1.61343E+13,1.57E+23,6996.79,-9734.6,18097.8,5.332,-0.073,48.433
X20,10/26/2014 0:10,12192,13123,2.6122E+11,5.03E+24,2.37141E+14,579.471,3.32903E+13,1.76E+23,6898.57,-18117,15900.9,5.3,-0.1316,39.171
X20,10/27/2014 0:10,12192,14169.6,2.7596E+11,5.03E+24,2.39868E+14,186.222,4.56423E+13,1.96E+23,6461.83,-25663,14373.5,5.291,-0.1764,32.266
X31,10/24/2014 1:22,12192,11524.9,2.4295E+11,5.28E+24,2.23125E+14,587.8,6.5724E+12,1.44E+23,6814.19,-3915.7,19330.1,5.386,-0.0306,53.146
X16,11/7/2014 0:10,12205,4261.39,51135000000,6.28E+23,7.07994E+13,1750.31,5.90724E+13,4.45E+22,1425.92,-7662.2,7306.78,4.827,-0.2842,24.268
X22,3/11/2015 0:10,12297,3108.06,41184000000,6.55E+23,4.84331E+13,1813.38,6.57864E+13,2.41E+22,1261.09,-1337.4,14314.5,4.897,-0.0616,39.245
M12,5/5/2010 0:10,11069,605.079,8395900000,7.97E+22,7.56387E+12,295.489,1.16002E+13,5.50E+21,187.755,-1069,10742.8,4.173,-0.2415,12.511
M20,6/12/2010 0:10,11081,799.028,9715600000,6.76E+22,1.10299E+13,188.512,7.90356E+12,6.64E+21,251.771,-1453.2,7496.46,4.138,-0.2837,12.975
M10,8/7/2010 0:10,11093,651.383,23721000000,2.07E+23,1.01795E+13,128.779,1.72782E+12,1.16E+22,482.56,-2362.5,10704.8,3.757,-0.1889,25.781
M29,10/16/2010 0:10,11112,714.377,16015000000,6.90E+22,1.14455E+13,25.607,5.93941E+12,7.93E+21,707.666,-793.58,5264.65,3.942,-0.094,13.941
M54,11/6/2010 15:10,11121,1032.62,32698000000,8.34E+22,1.63814E+13,144.478,5.39325E+12,2.02E+22,647.258,-7178.3,2677.04,3.696,-0.4164,2.394
M18,3/7/2011 0:10,11164,4205.19,75541000000,1.03E+24,8.33458E+13,415.39,2.56358E+13,6.55E+22,1829.17,-10046,7644.54,4.67,-0.2523,26.104
M37,3/7/2011 0:10,11165,3323.23,48037000000,5.86E+23,5.9466E+13,158.76,1.33745E+12,4.61E+22,1302.78,-8261.9,6467,4.621,-0.3262,24.616
M42,3/14/2011 0:10,11169,1979.94,28920000000,4.05E+23,3.89457E+13,696.878,2.90708E+13,2.54E+22,857.365,-3083.2,7341.19,4.418,-0.2022,25.942
M10,3/24/2011 8:34,11176,2799.15,59845000000,6.22E+23,6.40716E+13,409.721,8.38947E+12,4.96E+22,1104.33,-9238.3,5440.64,4.42,-0.2928,25.178
M25,6/7/2011 0:10,11226,1490.51,23291000000,1.58E+23,3.65345E+13,362.711,2.08033E+13,2.70E+22,752.192,-4205.7,2480.03,3.705,-0.3425,11.386
M11,7/27/2011 0:10,11260,1507.63,19616000000,1.90E+23,3.09647E+13,273.579,1.36853E+13,1.71E+22,502.956,-2661.8,4950.63,4.409,-0.2574,24.761
M11,8/3/2011 0:10,11261,2981.77,34233000000,5.89E+23,5.29598E+13,1220.61,4.09497E+13,2.33E+22,1256.96,-341.36,10895.5,4.735,-0.0189,45.077
M93,8/4/2011 0:10,11261,3082.38,32030000000,4.75E+23,5.77716E+13,852.749,3.56379E+13,2.59E+22,1170.92,-1750.4,8053.63,4.754,-0.1037,34.355
