Flare Class,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
X,3249.07,41815000000,8.59611e+23,62133000000000,700.682,14899500000000,2.73502e+22,1103.97,-552.89,14038.0,4.82,-0.0251,59.489
X,3176.31,47782000000,9.66251e+23,69314200000000,157.759,9905710000000,3.17696e+22,1400.93,-869.7,13463.6,4.825,-0.0345,55.222
X,1892.92,26673000000,3.7176e+23,42117300000000,171.952,6528880000000,1.89001e+22,1370.85,-231.29,7496.19,4.438,-0.0164,42.934
X,1868.82,24509000000,3.48314e+23,36289300000000,429.602,21180700000000,1.73257e+22,1198.6,-317.56,8669.42,4.319,-0.0246,35.944
X,5271.77,102290000000,1.92023e+24,86898000000000,1066.25,16117800000000,6.44039e+22,1939.06,-6162.1,16094.8,4.912,-0.1143,41.102
X,3866.88,70512000000,1.14346e+24,65260000000000,1391.38,49266300000000,4.78428e+22,1414.52,-5714.5,13415.5,4.909,-0.1537,40.522
X,5904.31,87381000000,1.67573e+24,101205000000000,2314.31,79541700000000,5.73691e+22,2018.58,-3081.2,15320.6,5.212,-0.0669,51.021
X,7702.74,142900000000,2.44108e+24,167971000000000,1442.81,67581800000000,9.47142e+22,4536.81,-3694.1,10926.2,5.036,-0.049,46.161
X,1854.69,31449000000,3.1167e+23,31191900000000,734.486,26729600000000,2.86207e+22,685.994,-6350.1,5782.52,4.405,-0.383,19.024
X,3797.71,82041000000,1.27104e+24,78600900000000,793.983,43241700000000,6.83588e+22,1991.73,-10208.0,8901.63,4.371,-0.236,28.139
X,5731.51,93206000000,1.47334e+24,106304000000000,1209.82,42993900000000,7.5281e+22,2335.35,-10458.0,10024.8,5.0,-0.2128,32.819
X,4112.32,59235000000,1.05158e+24,88819200000000,333.588,2159870000000,4.43667e+22,2305.81,-2066.6,9711.59,4.734,-0.0662,48.785
X,3373.21,49245000000,7.96986e+23,77797300000000,554.928,15832700000000,3.94222e+22,2166.65,-2770.8,8327.02,4.662,-0.1067,42.175
X,3562.63,63842000000,7.50182e+23,64619200000000,807.485,32894000000000,6.24237e+22,1550.35,-12204.0,6225.65,4.746,-0.3626,19.828
X,7589.58,165020000000,2.98914e+24,164685000000000,2185.35,77155800000000,9.33283e+22,4448.32,-1823.0,14033.1,4.962,-0.021,51.014
X,1098.55,14717000000,1.69436e+23,21651300000000,253.733,13521600000000,1.1299e+22,751.502,-1132.4,6990.11,4.203,-0.1459,26.704
X,11762.2,225030000000,4.7589e+24,216398000000000,650.243,15443000000000,1.35936e+23,6158.15,-5991.2,18881.5,5.463,-0.0505,48.13
X,12172.3,252970000000,5.22753e+24,230024000000000,854.506,16134300000000,1.56972e+23,6996.79,-9734.6,18097.8,5.332,-0.073,48.433
X,13123.0,261220000000,5.02549e+24,237141000000000,579.471,33290300000000,1.76047e+23,6898.57,-18117.0,15900.9,5.3,-0.1316,39.171
X,14169.6,275960000000,5.02624e+24,239868000000000,186.222,45642300000000,1.96435e+23,6461.83,-25663.0,14373.5,5.291,-0.1764,32.266
X,11524.9,242950000000,5.27932e+24,223125000000000,587.8,6572400000000,1.43595e+23,6814.19,-3915.7,19330.1,5.386,-0.0306,53.146
X,4261.39,51135000000,6.2785e+23,70799400000000,1750.31,59072400000000,4.45143e+22,1425.92,-7662.2,7306.78,4.827,-0.2842,24.268
X,3108.06,41184000000,6.55401e+23,48433100000000,1813.38,65786400000000,2.40925e+22,1261.09,-1337.4,14314.5,4.897,-0.0616,39.245
M,605.079,8395900000,7.97097e+22,7563870000000,295.489,11600200000000,5.50263e+21,187.755,-1069.0,10742.8,4.173,-0.2415,12.511
M,799.028,9715600000,6.75987e+22,11029900000000,188.512,7903560000000,6.63726e+21,251.771,-1453.2,7496.46,4.138,-0.2837,12.975
M,651.383,23721000000,2.07177e+23,10179500000000,128.779,1727820000000,1.16053e+22,482.56,-2362.5,10704.8,3.757,-0.1889,25.781
M,714.377,16015000000,6.8959e+22,11445500000000,25.607,5939410000000,7.93419e+21,707.666,-793.58,5264.65,3.942,-0.094,13.941
M,1032.62,32698000000,8.34484e+22,16381400000000,144.478,5393250000000,2.01705e+22,647.258,-7178.3,2677.04,3.696,-0.4164,2.394
M,4205.19,75541000000,1.03358e+24,83345800000000,415.39,25635800000000,6.55119e+22,1829.17,-10046.0,7644.54,4.67,-0.2523,26.104
M,3323.23,48037000000,5.85612e+23,59466000000000,158.76,1337450000000,4.60821e+22,1302.78,-8261.9,6467.0,4.621,-0.3262,24.616
M,1979.94,28920000000,4.05166e+23,38945700000000,696.878,29070800000000,2.54374e+22,857.365,-3083.2,7341.19,4.418,-0.2022,25.942
M,2799.15,59845000000,6.21559e+23,64071600000000,409.721,8389470000000,4.96321e+22,1104.33,-9238.3,5440.64,4.42,-0.2928,25.178
M,1490.51,23291000000,1.5829e+23,36534500000000,362.711,20803300000000,2.69551e+22,752.192,-4205.7,2480.03,3.705,-0.3425,11.386
M,1507.63,19616000000,1.90146e+23,30964700000000,273.579,13685300000000,1.70578e+22,502.956,-2661.8,4950.63,4.409,-0.2574,24.761
M,2981.77,34233000000,5.88683e+23,52959800000000,1220.61,40949700000000,2.33441e+22,1256.96,-341.36,10895.5,4.735,-0.0189,45.077
M,3082.38,32030000000,4.75109e+23,57771600000000,852.749,35637900000000,2.58696e+22,1170.92,-1750.4,8053.63,4.754,-0.1037,34.355
M,3584.81,67073000000,6.67381e+23,75482300000000,438.722,15337200000000,6.52067e+22,1863.6,-11852.0,4698.82,4.663,-0.3352,17.951
M,959.536,18096000000,3.02129e+23,21676200000000,303.489,12841500000000,1.05794e+22,516.506,-74.648,11791.2,4.007,-0.0078,48.761
M,1060.48,20012000000,3.64487e+23,22954600000000,524.405,19501400000000,1.03074e+22,592.227,288.38,13726.8,4.113,0.0273,54.971
M,1196.54,21712000000,3.90861e+23,25867700000000,539.477,22398600000000,1.23187e+22,702.297,-32.155,13202.0,4.276,-0.0028,52.658
M,326.769,4493000000,3.1778e+22,7916150000000,25.297,3346860000000,3.29581e+21,188.319,-89.484,3507.53,3.349,-0.0378,29.361
M,1392.1,12657000000,1.71107e+23,25457500000000,361.418,17703400000000,9.66689e+21,357.999,-871.23,7725.67,4.322,-0.1306,38.292
M,1762.55,48874000000,3.41912e+23,40366700000000,2.054,1368720000000,3.26824e+22,726.212,-7756.9,4545.07,4.152,-0.3011,18.651
M,1053.99,11173000000,8.06583e+22,23889200000000,81.251,1652730000000,1.13621e+22,650.988,-1527.5,3010.99,3.256,-0.2593,24.188
M,991.794,9363100000,7.57221e+22,25048400000000,48.936,4197330000000,1.06065e+22,657.3,-1296.4,2696.77,3.622,-0.2626,25.266
M,255.698,4742700000,2.86089e+22,6420160000000,18.683,1883800000000,3.25253e+21,228.453,-152.84,3550.71,1.872,-0.0611,23.109
M,1010.04,14566000000,1.6376e+23,25840500000000,40.541,1563350000000,1.29192e+22,634.139,-1521.4,4987.01,3.971,-0.1981,36.856
M,1483.96,27306000000,3.12047e+23,36979900000000,172.762,5836760000000,2.33751e+22,922.698,-3086.5,5504.67,3.702,-0.2144,27.223
M,4490.07,79021000000,1.29114e+24,84751000000000,875.996,30222200000000,6.10699e+22,2020.48,-6763.1,10853.7,4.884,-0.1623,35.788
M,5390.35,85848000000,1.58999e+24,96387500000000,1510.23,61820900000000,5.92685e+22,2222.71,-3785.4,13899.9,4.974,-0.0836,40.31
M,6089.71,87565000000,1.75702e+24,102529000000000,1772.7,72219100000000,5.39941e+22,2221.04,-1247.0,16698.0,5.051,-0.027,45.673
M,4143.84,78029000000,1.08449e+24,70450200000000,567.397,18689500000000,6.42623e+22,1901.01,-10719.0,9271.32,4.659,-0.2606,30.795
M,957.076,17893000000,2.99685e+23,22977100000000,255.867,16338200000000,1.18587e+22,588.874,-383.92,10451.5,4.029,-0.0407,47.362
M,3022.07,57741000000,1.09795e+24,68531700000000,553.367,19464100000000,3.70353e+22,1526.68,-1649.3,13081.8,4.597,-0.0542,55.336
M,1970.26,37304000000,4.93124e+23,47399600000000,316.945,10705600000000,2.49239e+22,1568.74,-1292.1,8127.04,4.006,-0.0657,38.265
M,1671.44,36032000000,4.08031e+23,40851900000000,321.816,16991100000000,2.76678e+22,1125.49,-2771.6,6512.12,3.986,-0.1459,24.582
M,3096.96,50121000000,8.69121e+23,68751500000000,517.535,19437500000000,3.46531e+22,1550.36,-1478.2,10688.7,4.76,-0.0559,49.15
M,4674.35,63085000000,1.10678e+24,97698800000000,530.706,15354800000000,4.33853e+22,1876.72,-2086.8,10951.7,5.006,-0.0627,51.179
M,6269.13,75358000000,1.33779e+24,112265000000000,423.666,14564800000000,5.13759e+22,2051.61,-3454.7,12622.8,5.152,-0.087,45.577
M,6875.78,88121000000,1.49995e+24,117994000000000,1479.95,48260500000000,6.23973e+22,2230.59,-6800.7,12517.0,5.178,-0.1464,36.735
M,7405.08,102390000000,1.63912e+24,121000000000000,1762.89,58642100000000,7.80474e+22,2511.08,-11981.0,11596.7,5.019,-0.2219,30.948
M,5128.38,102620000000,1.04968e+24,111968000000000,152.442,2612200000000,8.58661e+22,3061.74,-11955.0,5656.48,4.78,-0.221,21.474
M,5367.96,99212000000,1.20174e+24,120321000000000,290.145,12708000000000,7.9842e+22,3412.45,-7591.7,6806.88,4.862,-0.1451,25.973
M,5168.38,110210000000,1.0201e+24,108445000000000,238.66,2077720000000,8.75877e+22,2854.5,-13227.0,5659.64,4.569,-0.2277,21.937
M,1246.07,28759000000,3.77392e+23,29027700000000,43.711,3319230000000,2.49505e+22,597.133,-3608.8,6674.45,3.876,-0.238,26.816
M,3286.57,42830000000,3.9491e+23,79868600000000,2.772,9412330000000,5.39927e+22,1884.27,-8663.9,3078.47,4.228,-0.3837,17.968
M,1910.31,20302000000,2.25521e+23,45965600000000,268.104,7237430000000,1.83615e+22,829.438,-1327.6,4539.88,4.586,-0.124,35.204
M,2268.15,24701000000,3.76981e+23,44550700000000,540.999,22046900000000,1.84049e+22,978.028,-417.81,8021.86,4.648,-0.0321,43.107
M,2387.21,31941000000,4.98573e+23,50007200000000,5.435,6743260000000,2.34127e+22,950.049,-2139.3,9723.61,4.724,-0.127,45.707
M,2510.26,37243000000,5.26361e+23,51154900000000,115.682,8982930000000,3.06973e+22,1072.72,-4189.9,8293.77,4.636,-0.2134,37.141
M,4791.15,89302000000,1.45282e+24,99028800000000,195.84,25890800000000,6.22953e+22,1889.65,-7217.1,11372.4,5.236,-0.1533,41.342
M,609.076,5900400000,5.86331e+22,11717800000000,186.711,8150400000000,4.64748e+21,162.482,-495.62,5710.04,4.001,-0.1593,32.695
M,789.778,9456400000,9.91782e+22,16392900000000,111.308,7626490000000,9.46435e+21,293.623,-1484.2,4520.85,3.718,-0.2977,29.312
M,1296.48,29846000000,4.45466e+23,31001200000000,237.221,8910830000000,1.75112e+22,940.186,-186.71,11392.5,3.618,-0.0119,37.846
M,1568.62,27170000000,2.75426e+23,38010400000000,220.646,7538430000000,1.83986e+22,1092.56,-434.84,6037.62,3.603,-0.0304,36.309
M,2753.69,30477000000,3.37625e+23,69613800000000,188.998,11140100000000,2.74643e+22,1750.01,-1674.4,4530.38,4.572,-0.1042,32.091
M,2362.49,29208000000,2.6358e+23,63044900000000,67.617,6726320000000,3.13583e+22,1583.62,-3026.7,3116.76,4.344,-0.1966,25.396
M,3095.13,63961000000,9.38399e+23,75791600000000,88.299,7144190000000,4.07927e+22,2165.09,-312.34,9265.7,3.955,-0.0093,45.851
M,478.337,8467400000,3.41059e+22,10215100000000,78.064,3535210000000,8.10418e+21,176.969,-1809.1,1905.0,3.485,-0.4053,6.053
M,2629.57,47167000000,4.85464e+23,54544200000000,598.695,24644300000000,3.58999e+22,1026.89,-5635.4,6343.02,4.52,-0.2266,24.041
M,1067.32,26541000000,1.306e+23,21066300000000,154.975,8289960000000,2.11388e+22,362.596,-6242.7,3111.73,4.226,-0.4462,11.034
M,1753.3,25561000000,2.5559e+23,34286200000000,482.843,18732800000000,1.82167e+22,682.765,-1344.1,6211.06,4.439,-0.0997,31.053
M,1644.25,24579000000,4.46142e+23,29865200000000,761.305,24191600000000,1.53486e+22,781.163,-753.59,13249.4,4.408,-0.0582,49.647
M,2891.89,52804000000,8.73245e+23,68710100000000,646.341,32242200000000,3.71473e+22,1760.01,-2368.1,9525.32,4.596,-0.0851,42.768
M,2494.83,46915000000,6.21082e+23,59040100000000,555.112,23750800000000,3.9111e+22,1571.92,-4843.8,7047.1,4.429,-0.1958,30.178
M,2366.19,29690000000,5.05209e+23,33254700000000,468.443,16704900000000,2.10143e+22,529.695,-2610.2,12660.7,4.551,-0.1668,33.877
M,2383.34,32414000000,6.0263e+23,43738900000000,571.546,17630400000000,2.19403e+22,771.362,-1075.1,12608.6,4.694,-0.0629,52.474
M,2011.33,27555000000,4.64848e+23,24389100000000,658.68,16686700000000,1.88652e+22,548.57,-2440.0,13657.9,4.416,-0.168,32.882
M,3137.01,49026000000,7.75033e+23,70342000000000,344.171,14614700000000,3.61143e+22,1745.44,-901.38,8586.88,4.572,-0.0349,43.625
M,2832.81,44084000000,6.45972e+23,64114800000000,389.045,16496700000000,3.12757e+22,1661.39,-879.75,8129.98,4.539,-0.0379,44.251
M,2278.87,38527000000,4.9958e+23,53433900000000,355.069,16812400000000,2.78113e+22,1476.83,-1110.3,7289.83,4.229,-0.0547,39.128
M,921.498,10018000000,1.3708e+23,16392900000000,341.422,15054600000000,7.96038e+21,333.524,-790.43,8207.64,4.177,-0.1497,38.581
M,4109.33,94255000000,1.44348e+24,78386900000000,443.002,24197100000000,5.98585e+22,1459.62,-8943.8,11721.7,4.481,-0.18,30.302
M,3728.16,89261000000,1.45419e+24,79161700000000,461.447,11497900000000,6.07731e+22,1878.11,-7059.6,11537.0,4.294,-0.15,27.944
M,951.092,20313000000,1.53726e+23,22314300000000,7.48,2302390000000,1.67869e+22,564.03,-2837.1,4144.41,3.583,-0.2649,16.788
M,3622.0,61272000000,6.99976e+23,69604600000000,13.275,4816340000000,4.65802e+22,1433.51,-8145.5,7532.41,4.797,-0.2522,28.318
M,1765.52,22897000000,1.94041e+23,39673200000000,200.518,9481020000000,1.72478e+22,1105.47,250.68,4285.02,4.257,0.0208,29.386
M,2879.71,41432000000,5.37047e+23,61559100000000,95.905,3106930000000,2.80092e+22,1500.91,-938.34,8150.39,4.664,-0.043,40.942
M,3113.3,47937000000,5.56992e+23,69566000000000,154.21,924364000000,3.65437e+22,1645.86,-3655.8,6722.15,4.501,-0.1447,36.394
