Prediction,Flare Class,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
B,B10,55.772,1020700000,5.22E+21,9.61E+11,38.849,1.39E+12,2.82E+20,13.9159,115.82,8009.98,3.102,0.2152,51.12
B,B40,41.846,957960000,1.51E+21,6.02E+11,7.576,1.56E+11,4.18E+20,63.1692,-57.081,2358.96,1.908,-0.113,2.079
M,M12,605.079,8395900000,7.97E+22,7.56E+12,295.489,1.16E+13,5.50E+21,187.755,-1069,10742.8,4.173,-0.2415,12.511
B,B11,34.981,1882500000,1.59E+21,6.24E+11,1.055,7.15E+11,4.61E+20,134.59,-0.072779,2012.54,2.449,-0.0001,1.01
B,B51,633.567,11148000000,1.06E+23,8.99E+12,30.109,4.54E+12,7.24E+21,255.508,-1474.2,9964.54,4.145,-0.2508,27.772
M,M20,799.028,9715600000,6.76E+22,1.1E+13,188.512,7.9E+12,6.64E+21,251.771,-1453.2,7496.46,4.138,-0.2837,12.975
B,B10,216.985,9850200000,1.86E+23,3.26E+12,56.862,1.9E+12,4.28E+21,126.703,-37.69,27183,3.45,-0.0073,72.794
M,B10,144.095,3233100000,1.84E+22,2.18E+12,12.192,5.16E+11,2.84E+21,101.138,-762.27,4563.42,3.206,-0.4472,3.983
C,C26,974.83,21174000000,1.36E+23,1.71E+13,208.152,1.12E+13,1.44E+22,1120.08,-2166.7,5343.22,3.745,-0.1941,15.774
B,C32,755.441,29090000000,4.10E+23,1.35E+13,180.563,6.2E+12,1.49E+22,585.759,-1487.9,17125.7,3.911,-0.097,39.437
M,M10,651.383,23721000000,2.07E+23,1.02E+13,128.779,1.73E+12,1.16E+22,482.56,-2362.5,10704.8,3.757,-0.1889,25.781
B,B16,122.659,4376400000,1.39E+22,1.97E+12,17.306,6.26E+11,1.74E+21,208.355,66.975,5087.25,2.149,0.029,6.861
B,B19,392.232,5728500000,4.38E+22,6.69E+12,22.377,1.82E+12,3.68E+21,230.117,-484.35,6963.16,3.669,-0.1604,27.071
M,B17,68.067,1491300000,7.22E+21,1.11E+12,15.042,7.94E+11,7.11E+20,29.7155,-5.3543,6597.7,3.148,-0.0068,19.053
B,B14,209.131,3122800000,2.21E+22,3.23E+12,3.294,2.06E+11,2.21E+21,118.215,-308.43,6745.98,3.507,-0.1873,11.665
B,B35,72.709,1442700000,4.44E+21,1.25E+12,16.776,7.22E+11,7.82E+20,79.8919,-85.388,3320.04,1.915,-0.1123,10.615
C,B33,228.552,15214000000,1.68E+22,3.82E+12,17.847,1.99E+12,5.95E+21,223.379,-2861.5,1696.4,2.957,-0.3568,0.054
B,B26,193.042,9444700000,1.26E+23,2.63E+12,34.724,9.33E+11,4.97E+21,166.482,-783.95,17959.9,3.833,-0.1574,46.63
